id;Kreis;ausl_m;ausl_w;ausl_insg
09188;Starnberg, Landkreis;11580;10590;22165
09189;Traunstein, Landkreis;10100;8720;18820
09190;Weilheim-Schongau, Landkreis;8085;6685;14770
09261;Landshut, kreisfreie Stadt;7555;6470;14020
09262;Passau, kreisfreie Stadt;6265;5080;11350
09263;Straubing, kreisfreie Stadt;4415;3805;8220
09271;Deggendorf, Landkreis;8620;5865;14485
09272;Freyung-Grafenau, Landkreis;2160;1810;3970
09273;Kelheim, Landkreis;9580;6990;16570
09274;Landshut, Landkreis;9810;7335;17145
09275;Passau, Landkreis;9535;7460;17000
09276;Regen, Landkreis;3000;2510;5510
09277;Rottal-Inn, Landkreis;7430;5500;12930
09278;Straubing-Bogen, Landkreis;4525;3340;7860
09279;Dingolfing-Landau, Landkreis;7355;4995;12345
09361;Amberg, kreisfreie Stadt;2675;2185;4860
09362;Regensburg, kreisfreie Stadt;16320;14215;30535
09363;Weiden in der Oberpfalz, kreisfreie Stadt;3140;2455;5595
09371;Amberg-Sulzbach, Landkreis;3425;2495;5920
09372;Cham, Landkreis;4495;3630;8120
09373;Neumarkt in der Oberpfalz, Landkreis;7180;4835;12015
09374;Neustadt an der Waldnaab, Landkreis;2515;1940;4455
09375;Regensburg, Landkreis;10130;8365;18495
09376;Schwandorf, Landkreis;7125;5710;12835
09377;Tirschenreuth, Landkreis;1805;1620;3425
09461;Bamberg, kreisfreie Stadt;6395;5435;11835
09462;Bayreuth, kreisfreie Stadt;6470;5690;12160
09463;Coburg, kreisfreie Stadt;2460;2105;4565
09464;Hof, kreisfreie Stadt;4695;3960;8650
09471;Bamberg, Landkreis;4305;3280;7585
09472;Bayreuth, Landkreis;2125;1870;3995
09473;Coburg, Landkreis;2605;2150;4755
09474;Forchheim, Landkreis;4380;3840;8220
09475;Hof, Landkreis;2970;2605;5575
09476;Kronach, Landkreis;1800;1525;3320
09477;Kulmbach, Landkreis;2055;1730;3785
09478;Lichtenfels, Landkreis;2260;1940;4195
09479;Wunsiedel im Fichtelgebirge, Landkreis;3280;2970;6245
09561;Ansbach, kreisfreie Stadt;3495;3060;6550
09562;Erlangen, kreisfreie Stadt;12335;11015;23350
09563;Fürth, kreisfreie Stadt;13860;12245;26105
09564;Nürnberg, kreisfreie Stadt;73370;65905;139275
09565;Schwabach, kreisfreie Stadt;3075;2615;5690
09571;Ansbach, Landkreis;9850;7430;17280
09572;Erlangen-Höchstadt, Landkreis;7580;6625;14210
09573;Fürth, Landkreis;6120;5215;11335
09574;Nürnberger Land, Landkreis;8515;7580;16095
09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;5125;3775;8900
09576;Roth, Landkreis;5535;4400;9930
09577;Weißenburg-Gunzenhausen, Landkreis;5075;4230;9305
09661;Aschaffenburg, kreisfreie Stadt;6960;6120;13080
09662;Schweinfurt, kreisfreie Stadt;8545;6395;14940
09663;Würzburg, kreisfreie Stadt;8890;8585;17475
09671;Aschaffenburg, Landkreis;8925;8100;17025
09672;Bad Kissingen, Landkreis;3360;2810;6170
09673;Rhön-Grabfeld, Landkreis;2115;1835;3945
09674;Haßberge, Landkreis;2125;1800;3925
09675;Kitzingen, Landkreis;5045;3760;8805
09676;Miltenberg, Landkreis;7645;7110;14755
09677;Main-Spessart, Landkreis;4990;4495;9480
09678;Schweinfurt, Landkreis;3780;2920;6700
09679;Würzburg, Landkreis;6010;4905;10915
09761;Augsburg, kreisfreie Stadt;38905;33490;72395
09762;Kaufbeuren, kreisfreie Stadt;3995;3405;7400
09763;Kempten (Allgäu), kreisfreie Stadt;6235;5415;11650
09764;Memmingen, kreisfreie Stadt;4640;3915;8550
09771;Aichach-Friedberg, Landkreis;6795;5240;12035
09772;Augsburg, Landkreis;14280;12115;26395
09773;Dillingen an der Donau, Landkreis;5545;4475;10020
09774;Günzburg, Landkreis;10130;7985;18115
09775;Neu-Ulm, Landkreis;15160;12665;27825
09776;Lindau (Bodensee), Landkreis;5960;5560;11520
09777;Ostallgäu, Landkreis;7290;6210;13500
09778;Unterallgäu, Landkreis;8745;6425;15170
09779;Donau-Ries, Landkreis;7510;5915;13425
09780;Oberallgäu, Landkreis;7405;6795;14195
10041;Regionalverband Saarbrücken, Landkreis;-;-;-
10042;Merzig-Wadern, Landkreis;-;-;-
10043;Neunkirchen, Landkreis;-;-;-
10044;Saarlouis, Landkreis;66710;59385;126095
10045;Saarpfalz-Kreis;-;-;-
10046;Sankt Wendel, Landkreis;-;-;-
11000;Berlin, kreisfreie Stadt;425705;387005;812705
12051;Brandenburg an der Havel, kreisfreie Stadt;2595;1760;4350
12052;Cottbus, kreisfreie Stadt;7240;6050;13290
12053;Frankfurt (Oder), kreisfreie Stadt;2520;2485;5005
12054;Potsdam, kreisfreie Stadt;9195;8285;17480
12060;Barnim, Landkreis;4920;3700;8620
12061;Dahme-Spreewald, Landkreis;4945;3750;8695
12062;Elbe-Elster, Landkreis;1480;1090;2570
12063;Havelland, Landkreis;4680;3660;8340
12064;Märkisch-Oderland, Landkreis;3925;3195;7115
12065;Oberhavel, Landkreis;5215;3965;9180
12066;Oberspreewald-Lausitz, Landkreis;2555;1585;4140
12067;Oder-Spree, Landkreis;6085;4480;10565
12068;Ostprignitz-Ruppin, Landkreis;2575;1630;4205
12069;Potsdam-Mittelmark, Landkreis;5590;4130;9720
12070;Prignitz, Landkreis;2150;1435;3590
12071;Spree-Neiße, Landkreis;-;-;-
12072;Teltow-Fläming, Landkreis;5715;4090;9805
12073;Uckermark, Landkreis;3245;2490;5730
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-
13003;Rostock, kreisfreie Stadt;8585;6170;14755
13004;Schwerin, kreisfreie Stadt;4855;3935;8790
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-
