Dahme-Spreewald,LK Dahme-Spreewald,Dahme-Spreewald LK,"Dahme-Spreewald, Landkreis",DE406,Dahme-Spreewald,,,,
Darmstadt-Dieburg,LK Darmstadt-Dieburg,Darmstadt-Dieburg LK,"Darmstadt-Dieburg, Landkreis",DE716,Darmstadt-Dieburg,,,,
Deggendorf,LK Deggendorf,Deggendorf LK,"Deggendorf, Landkreis",DE224,Deggendorf,,,,
Diepholz,LK Diepholz,Diepholz LK,"Diepholz, Landkreis",DE922,Diepholz,,,,
Dillingen an der Donau,LK Dillingen a.d.Donau,Dillingen a.d.Donau LK,"Dillingen an der Donau, Landkreis",DE277,Dillingen a.d. Donau,,,,
Dingolfing-Landau,LK Dingolfing-Landau,Dingolfing-Landau LK,"Dingolfing-Landau, Landkreis",DE22C,Dingolfing-Landau,,,,
Dithmarschen,LK Dithmarschen,Dithmarschen K,"Dithmarschen, Landkreis",DEF05,Dithmarschen,,,,
Donau-Ries,LK Donau-Ries,Donau-Ries LK,"Donau-Ries, Landkreis",DE27D,Donau-Ries,,,,
Donnersbergkreis,LK Donnersbergkreis,Donnersbergkreis LK,Donnersbergkreis,DEB3D,Donnersbergkreis,,,,
Düren,LK Düren,Düren K,"Düren, Landkreis",DEA26,Düren,,,,
Ebersberg,LK Ebersberg,Ebersberg LK,"Ebersberg, Landkreis",DE218,Ebersberg,,,,
Eichsfeld,LK Eichsfeld,Eichsfeld LK,"Eichsfeld, Landkreis",DEG06,Eichsfeld,,,,
Eichstätt,LK Eichstätt,Eichstätt LK,"Eichstätt, Landkreis",DE219,Eichstätt,,,,
Elbe-Elster,LK Elbe-Elster,Elbe-Elster LK,"Elbe-Elster, Landkreis",DE407,Elbe-Elster,,,,
Emmendingen,LK Emmendingen,Emmendingen LK,"Emmendingen, Landkreis",DE133,Emmendingen,,,,
Emsland,LK Emsland,Emsland LK,"Emsland, Landkreis",DE949,Emsland,,,,
Ennepe-Ruhr-Kreis,LK Ennepe-Ruhr-Kreis,Ennepe-Ruhr-Kreis K,Ennepe-Ruhr-Kreis,DEA56,Ennepe-Ruhr-Kreis,,,,
Enzkreis,LK Enzkreis,Enzkreis LK,Enzkreis,DE12B,Enzkreis,,,,
Erding,LK Erding,Erding LK,"Erding, Landkreis",DE21A,Erding,,,,
Erlangen-Höchstadt,LK Erlangen-Höchstadt,Erlangen-Höchstadt LK,"Erlangen-Höchstadt, Landkreis",DE257,Erlangen-Höchstadt,,,,
Erzgebirgskreis,LK Erzgebirgskreis,Erzgebirgskreis LK,Erzgebirgskreis,DED42,Erzgebirgskreis,,,,
Esslingen,LK Esslingen,Esslingen LK,"Esslingen, Landkreis",DE113,Esslingen,,,,
Euskirchen,LK Euskirchen,Euskirchen K,"Euskirchen, Landkreis",DEA28,Euskirchen,,,,
