ds,bing_tiles_visited,single_tile_users,driving,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,#cases,bing_tiles_visited t-1,single_tile_users t-1,driving t-1,retail_and_recreation t-1,grocery_and_pharmacy t-1,parks t-1,transit_stations t-1,workplaces t-1,residential t-1,bing_tiles_visited t-2,single_tile_users t-2,driving t-2,retail_and_recreation t-2,grocery_and_pharmacy t-2,parks t-2,transit_stations t-2,workplaces t-2,residential t-2,bing_tiles_visited t-3,single_tile_users t-3,driving t-3,retail_and_recreation t-3,grocery_and_pharmacy t-3,parks t-3,transit_stations t-3,workplaces t-3,residential t-3,bing_tiles_visited t-4,single_tile_users t-4,driving t-4,retail_and_recreation t-4,grocery_and_pharmacy t-4,parks t-4,transit_stations t-4,workplaces t-4,residential t-4,bing_tiles_visited t-5,single_tile_users t-5,driving t-5,retail_and_recreation t-5,grocery_and_pharmacy t-5,parks t-5,transit_stations t-5,workplaces t-5,residential t-5,bing_tiles_visited t-6,single_tile_users t-6,driving t-6,retail_and_recreation t-6,grocery_and_pharmacy t-6,parks t-6,transit_stations t-6,workplaces t-6,residential t-6,bing_tiles_visited t-7,single_tile_users t-7,driving t-7,retail_and_recreation t-7,grocery_and_pharmacy t-7,parks t-7,transit_stations t-7,workplaces t-7,residential t-7,bing_tiles_visited t-8,single_tile_users t-8,driving t-8,retail_and_recreation t-8,grocery_and_pharmacy t-8,parks t-8,transit_stations t-8,workplaces t-8,residential t-8,bing_tiles_visited t-9,single_tile_users t-9,driving t-9,retail_and_recreation t-9,grocery_and_pharmacy t-9,parks t-9,transit_stations t-9,workplaces t-9,residential t-9,bing_tiles_visited t-10,single_tile_users t-10,driving t-10,retail_and_recreation t-10,grocery_and_pharmacy t-10,parks t-10,transit_stations t-10,workplaces t-10,residential t-10,state
2020-03-21,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,776.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,-0.039189999999999996,0.18472,94.28,-5.0,1.0,2.0,-10.0,-3.0,2.0,Nordrhein-Westfalen
2020-03-22,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,639.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,0.0044,0.17162,88.98,-6.0,5.0,11.0,-9.0,-3.0,2.0,Nordrhein-Westfalen
2020-03-23,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,911.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,-0.04677,0.18027,83.24,-11.0,18.0,-4.0,-15.0,-4.0,4.0,Nordrhein-Westfalen
2020-03-24,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,734.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,-0.030180000000000002,0.23690999999999998,75.34,-18.0,9.0,44.0,-19.0,-4.0,4.0,Nordrhein-Westfalen
2020-03-25,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,864.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,-0.04349,0.375,66.7,-16.0,7.0,90.0,-18.0,-7.0,3.0,Nordrhein-Westfalen
2020-03-26,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,796.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,0.018869999999999998,0.1947,65.79,-10.0,20.0,46.0,-28.0,-19.0,6.0,Nordrhein-Westfalen
2020-03-27,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,801.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,-0.09601,0.22057,62.02,-21.0,12.0,67.0,-35.0,-27.0,10.0,Nordrhein-Westfalen
2020-03-28,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,715.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,-0.17094,0.24561,57.02,-36.0,9.0,67.0,-41.0,-32.0,12.0,Nordrhein-Westfalen
2020-03-29,-0.47444,0.58758,41.86,-77.0,-51.0,-50.0,-70.0,-38.0,11.0,533.0,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,-0.21227,0.26921999999999996,52.18,-49.0,-2.0,12.0,-48.0,-36.0,14.0,Nordrhein-Westfalen
2020-03-30,-0.23081,0.31199,50.78,-52.0,-14.0,0.0,-56.0,-42.0,16.0,833.0,-0.47444,0.58758,41.86,-77.0,-51.0,-50.0,-70.0,-38.0,11.0,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,-0.28124,0.29513,48.14,-56.0,-1.0,-21.0,-55.0,-38.0,17.0,Nordrhein-Westfalen
2020-03-31,-0.23174,0.29146,54.0,-49.0,-8.0,47.0,-52.0,-43.0,17.0,761.0,-0.23081,0.31199,50.78,-52.0,-14.0,0.0,-56.0,-42.0,16.0,-0.47444,0.58758,41.86,-77.0,-51.0,-50.0,-70.0,-38.0,11.0,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,-0.31154,0.36396999999999996,40.18,-66.0,-19.0,8.0,-56.0,-30.0,13.0,Nordrhein-Westfalen
2020-04-01,-0.2493,0.28749,55.13,-48.0,-9.0,60.0,-52.0,-43.0,16.0,832.0,-0.23174,0.29146,54.0,-49.0,-8.0,47.0,-52.0,-43.0,17.0,-0.23081,0.31199,50.78,-52.0,-14.0,0.0,-56.0,-42.0,16.0,-0.47444,0.58758,41.86,-77.0,-51.0,-50.0,-70.0,-38.0,11.0,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,-0.35501,0.51566,40.17,-69.0,-33.0,32.0,-57.0,-33.0,9.0,Nordrhein-Westfalen
2020-04-02,-0.25732,0.29741,53.8,-52.0,-10.0,8.0,-55.0,-44.0,17.0,859.0,-0.2493,0.28749,55.13,-48.0,-9.0,60.0,-52.0,-43.0,16.0,-0.23174,0.29146,54.0,-49.0,-8.0,47.0,-52.0,-43.0,17.0,-0.23081,0.31199,50.78,-52.0,-14.0,0.0,-56.0,-42.0,16.0,-0.47444,0.58758,41.86,-77.0,-51.0,-50.0,-70.0,-38.0,11.0,-0.27599,0.34808,47.19,-64.0,-19.0,66.0,-54.0,-33.0,12.0,-0.29041999999999996,0.29905,50.92,-57.0,-12.0,51.0,-57.0,-44.0,18.0,-0.28568000000000005,0.31148000000000003,49.0,-57.0,-13.0,27.0,-57.0,-44.0,17.0,-0.30230999999999997,0.32001,47.21,-56.0,-15.0,44.0,-57.0,-44.0,17.0,-0.27984000000000003,0.32037,46.13,-57.0,-15.0,40.0,-57.0,-44.0,18.0,-0.23972,0.31434,45.85,-56.0,-14.0,12.0,-57.0,-41.0,15.0,Nordrhein-Westfalen
